,player_name,win,lost,match_played,total_win_percentage,total_lost_percentage
166,Alexander Sadecky,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666
167,Alexander Sarkissian,2.0,4.0,6.0,0.3333333333333333,0.6666666666666666
168,Alexander Shvec,0.0,3.0,3.0,0.0,1.0
169,Alexander Slabinsky,0.0,2.0,2.0,0.0,1.0
170,Alexander Volkov,290.0,251.0,541.0,0.5360443622920518,0.46395563770794823
171,Alexander Ward,0.0,4.0,4.0,0.0,1.0
172,Alexander Waske,27.0,64.0,91.0,0.2967032967032967,0.7032967032967034
173,Alexander Windisch,0.0,1.0,1.0,0.0,1.0
174,Alexander Zverev,299.0,135.0,434.0,0.6889400921658986,0.31105990783410137
175,Alexander Zverev Sr,1.0,3.0,4.0,0.25,0.75
176,Alexandr Dolgopolov,215.0,200.0,415.0,0.5180722891566265,0.4819277108433735
177,Alexandre Hocevar,5.0,9.0,14.0,0.35714285714285715,0.6428571428571429
178,Alexandre Muller,1.0,5.0,6.0,0.16666666666666666,0.8333333333333334
179,Alexandre Sidorenko,4.0,9.0,13.0,0.3076923076923077,0.6923076923076923
180,Alexandre Simoni,10.0,20.0,30.0,0.3333333333333333,0.6666666666666666
181,Alexandre Strambini,1.0,1.0,2.0,0.5,0.5
182,Alexei Belov,0.0,1.0,1.0,0.0,1.0
183,Alexei Popyrin,36.0,49.0,85.0,0.4235294117647059,0.5764705882352941
184,Alexey Vatutin,2.0,4.0,6.0,0.3333333333333333,0.6666666666666666
185,Alexios Halebian,0.0,1.0,1.0,0.0,1.0
186,Alexis Hombrecher,3.0,6.0,9.0,0.3333333333333333,0.6666666666666666
187,Alfonso Gonzalez,0.0,1.0,1.0,0.0,1.0
